               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.032701,            0.081588,           0.0027695,             0.86578,             0.85979,             0.86912,             0.43102,            0.038531,            0.071414,            0.004259,             0.00637,             0.00637,             0.00637
                 123,            0.032187,             0.08108,           0.0026521,             0.86897,              0.8488,             0.86419,             0.42186,            0.039327,            0.071527,           0.0044526,             0.00634,             0.00634,             0.00634
                 124,            0.032353,            0.081304,           0.0025423,             0.85243,             0.85919,             0.86597,             0.43407,            0.038535,             0.07165,            0.004179,             0.00631,             0.00631,             0.00631
                 125,            0.032072,            0.077283,           0.0026379,             0.85135,             0.85731,             0.86047,             0.42268,            0.039076,            0.072186,           0.0044566,             0.00628,             0.00628,             0.00628
                 126,            0.032385,             0.08021,           0.0025209,             0.86019,             0.85101,             0.85762,             0.43006,            0.038566,            0.072369,            0.004584,             0.00625,             0.00625,             0.00625
                 127,            0.032399,            0.081469,           0.0026582,             0.87153,             0.84636,             0.85877,             0.42865,            0.038665,            0.072336,           0.0046707,             0.00622,             0.00622,             0.00622
                 128,            0.032543,            0.082391,           0.0026237,             0.84657,             0.85097,               0.854,              0.4242,            0.038966,            0.072868,           0.0048936,             0.00619,             0.00619,             0.00619
                 129,            0.032161,            0.081507,           0.0026531,             0.86012,             0.85079,             0.85209,             0.42623,            0.038415,            0.071653,            0.003867,             0.00616,             0.00616,             0.00616
                 130,            0.032084,            0.079766,           0.0027382,             0.85751,             0.83535,             0.84785,             0.42411,            0.038957,            0.072231,           0.0043018,             0.00613,             0.00613,             0.00613
                 131,            0.032198,             0.08082,           0.0023775,             0.84011,             0.84966,              0.8483,             0.41962,             0.03889,            0.072484,           0.0047581,              0.0061,              0.0061,              0.0061
                 132,            0.032236,            0.081979,           0.0025729,             0.84867,             0.84201,             0.85282,             0.42186,            0.039177,            0.072373,           0.0043862,             0.00607,             0.00607,             0.00607
                 133,            0.032062,            0.079232,           0.0025005,             0.84263,              0.8507,             0.85227,             0.42329,            0.038824,             0.07257,            0.004903,             0.00604,             0.00604,             0.00604
                 134,            0.032101,            0.080133,           0.0027411,              0.8645,             0.84227,             0.85171,             0.42552,            0.038803,            0.072994,           0.0049931,             0.00601,             0.00601,             0.00601
                 135,            0.032007,            0.079861,           0.0025465,             0.86161,             0.85167,             0.85623,             0.42649,            0.038304,            0.071093,           0.0043831,             0.00598,             0.00598,             0.00598
                 136,            0.032204,            0.081624,           0.0026067,             0.83717,             0.86972,             0.85882,             0.41635,            0.039119,            0.073376,           0.0043568,             0.00595,             0.00595,             0.00595
                 137,            0.031615,            0.079138,           0.0025479,               0.867,              0.8569,             0.86712,             0.42779,             0.03877,            0.072713,           0.0044771,             0.00592,             0.00592,             0.00592
                 138,            0.031484,            0.079756,           0.0027043,             0.85743,              0.8649,              0.8647,             0.42852,            0.038659,            0.071619,            0.004148,             0.00589,             0.00589,             0.00589
                 139,             0.03169,            0.078892,           0.0024989,             0.84226,             0.86715,             0.86105,             0.42649,             0.03895,            0.073278,             0.00434,             0.00586,             0.00586,             0.00586
